0	1442	1389	1211	952	983	1346	1291	1457	1303	1092	973	1031	1449	1323	1464	1396	1207	1158	1012	1297	1253	1278	1132	971	722	819	1108	1097	1111
1	107	145	188	232	226	108	360	231	299	301	233	347	357	313	452	155	341	488	121	250	444	198	153	259	270	277	316	296	263
4	56	33	82	97	111	154	158	165	143	165	151	210	237	241	195	206	212	260	254	196	153	165	205	227	257	217	178	188	186
5	48	22	60	52	84	114	218	153	158	205	106	199	142	66	146	96	145	178	189	165	148	165	127	105	80	79	119	89	77
6	17	30	43	51	64	81	88	94	109	139	153	151	159	161	148	125	96	85	84	83	91	107	130	129	101	89	86	96	102
10	6	22	43	17	29	44	55	51	59	81	59	24	56	81	74	87	120	125	92	118	122	86	102	115	116	117	128	121	112
11	32	25	34	49	60	82	86	82	53	58	81	91	52	65	76	86	56	44	59	71	42	48	63	63	82	62	76	66	53
13	22	44	38	44	58	73	70	68	78	64	69	74	67	70	83	87	85	88	81	67	69	71	67	70	76	81	79	79	75
15	32	40	49	42	35	17	47	36	16	20	57	51	60	65	42	49	72	49	50	48	45	52	54	40	35	60	26	47	45
18	16	21	27	30	29	26	29	39	55	65	92	136	90	92	88	99	63	65	78	48	104	71	92	114	92	111	40	60	113
19	0	10	27	22	27	46	90	104	73	17	27	93	133	141	70	46	82	70	77	100	88	11	47	75	51	60	22	30	41
21	20	2	41	32	32	35	22	37	53	49	59	43	18	64	61	61	43	77	59	56	64	63	72	68	53	44	39	41	53
22	61	64	53	39	55	67	26	25	50	50	54	50	37	34	29	35	44	53	52	49	52	52	53	62	72	64	51	51	46
24	21	26	35	41	48	53	60	64	58	46	34	48	78	73	36	48	35	84	31	59	55	45	37	28	29	42	42	50	43
25	12	5	19	8	39	27	51	49	63	37	65	84	101	83	105	108	106	95	98	85	61	45	45	83	67	90	61	107	61
38	39	39	39	33	14	9	21	35	43	28	24	14	15	29	16	17	25	2	8	23	37	24	12	28	46	52	64	55	48
39	25	39	28	26	32	61	46	25	36	30	32	35	55	34	19	21	31	31	39	47	29	18	28	37	39	52	46	35	47
43	24	4	4	36	41	23	0	0	22	62	34	10	8	33	24	21	42	27	28	32	39	37	45	23	32	21	49	39	19
45	13	28	34	24	11	18	23	33	35	36	41	48	56	51	35	17	24	48	53	37	37	22	41	55	52	27	9	18	21
47	41	0	21	19	33	30	31	35	35	25	33	38	31	57	45	43	21	67	34	38	62	60	17	27	83	62	27	71	44
50	10	6	11	24	16	9	20	29	14	11	14	18	20	11	10	17	15	20	23	14	17	24	12	12	16	30	13	12	20
52	13	21	26	36	21	28	59	59	50	19	33	30	37	31	40	49	52	37	40	50	51	30	41	39	30	28	46	40	46
57	33	4	15	5	20	31	0	3	5	14	13	0	2	8	4	10	10	2	6	10	15	21	12	5	5	27	49	50	33
73	0	7	7	13	16	19	36	47	60	44	37	17	24	43	32	35	36	47	32	32	54	18	55	29	31	57	59	66	41
75	11	12	39	51	25	0	21	35	24	0	17	36	30	22	15	49	50	23	27	28	26	14	15	20	12	19	24	34	34
76	18	16	5	3	7	7	6	12	7	7	9	9	14	12	10	3	4	8	17	11	4	7	11	13	17	23	22	18	21
77	18	15	9	9	10	11	16	15	18	10	12	18	14	16	14	15	11	11	11	13	18	24	23	19	27	31	21	15	22
82	25	22	25	17	29	28	47	0	5	0	0	1	1	16	15	16	14	14	22	36	20	22	22	15	16	23	34	0	21
84	8	8	5	4	12	19	21	27	29	29	22	14	22	47	61	33	32	26	24	30	50	40	44	40	65	33	38	50	69
87	10	10	18	21	9	4	30	14	3	19	9	9	15	34	15	20	22	20	31	18	29	20	35	19	43	34	44	35	33
88	20	14	11	7	14	12	6	12	14	7	10	18	10	14	20	15	20	28	27	23	12	18	12	8	11	38	25	32	28
89	9	17	23	30	26	16	7	22	27	30	39	26	17	23	26	23	40	56	40	67	52	33	32	67	42	24	21	29	50
104	18	11	12	22	14	10	13	10	0	4	23	0	0	18	11	10	4	15	11	6	7	3	15	11	16	19	16	23	16
105	28	31	30	27	25	24	22	20	16	14	14	17	16	17	15	14	13	15	16	16	14	13	12	12	14	16	15	17	23
107	22	24	32	13	19	15	33	12	19	39	17	26	32	33	26	20	17	14	16	26	26	20	17	31	32	36	40	36	35
109	10	10	12	9	9	9	8	7	10	13	16	19	21	20	19	18	18	18	22	26	23	16	12	13	21	29	30	22	20
121	4	10	10	9	12	14	22	19	11	24	20	8	19	32	18	21	26	24	33	22	31	25	34	31	33	41	34	34	32
122	7	0	3	8	7	2	6	12	13	19	30	38	38	34	32	27	29	35	38	37	32	29	28	29	30	29	25	19	13
125	10	5	23	0	18	8	24	29	24	11	16	32	18	39	15	28	22	26	13	36	26	0	0	11	26	10	28	15	34
129	6	14	35	22	20	20	34	32	21	20	29	25	15	20	17	11	6	0	0	0	0	2	0	0	0	0	0	0	0
136	12	18	17	14	13	16	21	24	29	23	14	15	15	22	19	33	18	58	28	36	31	27	33	41	39	29	30	26	33
138	19	0	42	15	36	41	14	26	30	15	9	13	21	22	20	21	20	23	16	18	27	21	8	17	13	20	22	26	25
139	12	10	2	0	0	4	12	8	2	6	16	13	13	11	10	2	0	0	3	2	0	0	6	8	8	11	14	11	10
150	3	3	0	7	0	6	9	0	14	4	2	10	6	3	9	4	4	4	2	3	1	4	0	9	0	28	2	13	10
153	20	15	11	14	7	4	16	13	21	20	21	22	14	19	10	17	12	18	15	12	16	11	9	10	10	15	16	14	9
156	1	7	10	11	17	24	29	30	34	28	31	48	9	22	22	16	17	13	23	8	32	8	19	23	15	30	17	16	35
158	12	0	0	29	24	12	0	4	20	39	0	0	0	36	24	16	0	7	15	43	0	0	0	20	6	4	0	17	15
163	7	9	11	11	13	13	13	13	14	14	14	15	15	14	13	12	11	12	12	11	11	10	11	11	13	15	16	18	18
167	11	16	11	5	14	12	10	15	10	16	4	15	13	25	9	7	24	16	15	9	10	19	9	15	11	28	17	21	17
170	6	1	0	2	4	1	2	5	0	0	8	4	5	9	1	20	8	11	7	7	9	21	3	7	13	2	11	17	11
181	10	12	12	18	12	16	10	11	11	11	19	13	17	17	16	20	18	20	29	24	21	24	20	21	19	17	18	18	10
196	8	6	7	9	4	6	10	15	8	10	15	14	12	17	20	18	14	16	13	12	19	22	16	19	21	16	13	18	20
216	14	9	11	20	15	5	8	16	5	0	0	6	6	0	0	5	9	0	0	6	3	1	7	7	3	2	5	4	0
223	0	2	2	1	4	4	5	7	9	11	9	8	8	9	7	12	14	18	9	10	8	13	9	4	14	3	7	12	12
235	6	2	16	0	6	8	0	4	9	0	7	3	0	12	2	1	14	1	0	16	5	1	16	1	4	16	6	5	26
237	10	13	12	10	11	11	10	13	14	17	14	14	13	11	11	8	11	11	6	11	8	8	10	8	12	14	14	15	16
238	10	9	18	7	18	6	7	12	3	10	3	11	6	11	4	8	8	7	7	8	4	4	4	7	6	12	14	16	9
263	8	6	6	3	9	16	13	14	4	9	15	13	9	10	9	10	15	18	16	16	13	21	20	13	14	21	25	17	24
274	15	3	0	0	2	0	3	5	5	2	7	0	0	0	1	3	0	1	7	6	14	11	5	10	8	10	17	7	14
276	12	5	6	5	5	11	17	16	16	16	17	15	14	8	12	15	10	14	11	18	11	12	5	9	8	10	16	10	11
278	1	2	6	8	7	6	10	15	18	17	15	14	13	12	9	6	5	9	17	18	12	9	8	10	13	17	20	20	22
290	3	3	3	6	4	7	9	14	16	13	12	9	8	11	11	13	12	10	8	5	12	10	9	8	3	8	7	9	10
296	11	13	8	6	8	15	9	3	5	4	4	7	9	9	2	6	6	8	8	11	6	7	12	11	7	5	13	11	9
307	7	6	3	3	5	4	9	10	5	8	6	4	14	13	10	7	4	8	9	7	13	8	5	6	10	12	17	14	16
330	8	8	6	7	10	13	19	18	12	10	15	18	10	15	18	7	15	28	3	16	16	8	7	15	18	6	5	16	12
333	8	6	8	2	6	2	6	1	9	1	4	1	5	4	3	5	7	5	7	7	6	4	1	3	5	13	10	11	11
338	8	3	7	11	1	2	5	6	0	2	4	0	0	6	5	2	8	5	9	7	14	6	7	2	11	5	13	0	17
341	2	9	0	3	5	0	0	5	10	4	7	9	4	11	0	24	3	14	6	5	10	7	2	5	15	13	11	9	12
343	8	5	5	5	6	8	8	8	8	8	8	9	11	11	9	13	13	11	13	6	8	10	9	6	7	10	11	4	13
361	7	8	5	4	9	4	1	2	4	4	4	7	10	10	4	2	6	8	10	4	7	7	6	7	7	14	12	7	6
372	3	1	2	0	7	3	5	6	14	7	6	11	11	9	10	8	8	9	10	12	15	17	13	11	9	9	11	9	11
378	5	2	0	1	4	3	1	0	3	4	2	2	1	5	1	3	1	4	3	2	6	7	1	4	2	5	5	3	6
384	0	0	1	3	4	5	8	11	6	0	1	6	11	7	8	11	6	7	6	6	9	11	7	4	7	13	3	9	5
415	11	11	10	8	4	8	16	5	10	8	8	8	8	9	9	9	5	6	9	4	4	8	9	9	9	11	9	11	7
430	4	7	7	5	5	4	5	0	3	7	9	7	9	15	9	2	7	1	17	4	6	6	3	11	11	12	11	8	3
431	5	7	4	6	10	4	6	7	5	5	2	2	4	10	4	6	6	5	4	8	4	6	6	12	12	12	8	10	6
442	8	6	8	7	4	6	7	3	1	2	0	0	1	4	5	3	1	4	2	3	2	6	6	6	7	8	6	8	9
455	0	0	1	3	8	13	8	3	12	9	12	19	9	9	10	14	14	8	12	22	13	9	12	11	11	9	7	12	10
475	3	4	0	5	0	4	0	3	2	0	9	5	11	14	15	11	7	2	5	6	3	6	2	8	5	6	10	9	13
486	1	4	9	1	5	6	0	6	0	0	7	0	3	4	0	3	6	2	0	7	5	0	3	2	3	4	1	6	4
499	5	7	7	9	8	10	8	7	6	5	8	8	7	6	8	6	7	9	9	8	9	10	7	6	5	5	3	5	7
506	9	0	3	6	0	1	11	5	10	2	9	2	6	1	8	4	11	4	11	4	8	2	7	4	13	5	10	6	12
